slno,question,sql
207,"""How many landslides were recorded in the Philippines following the 2018 Typhoon Mangkhut?""","""SELECT COUNT(*)
FROM Landslide_Data
WHERE event_name = '2018 Typhoon Mangkhut';"""

208,"""What was the total damage to agriculture in the Philippines after the 2018 Typhoon Mangkhut?""","""SELECT SUM(damage_amount)
FROM Agricultural_Damage
WHERE event_name = '2018 Typhoon Mangkhut';"""

209,"""How many people were stranded or trapped in the Philippines after the 2018 Typhoon Mangkhut?""","""SELECT SUM(number_of_people)
FROM Stranded_People
WHERE event_name = '2018 Typhoon Mangkhut';"""

210,"""What was the total damage to public infrastructure in the Philippines after the 2018 Typhoon Mangkhut?""","""SELECT SUM(damage_amount)
FROM Public_Infrastructure_Damage
WHERE event_name = '2018 Typhoon Mangkhut';"""

211,"""What are the recent tweets about the flood disaster in Vietnam, along with their sentiment scores?""","""SELECT tweet_text, sentiment_score
FROM Disaster_Tweets
WHERE location LIKE '%Vietnam%' AND tweet_text LIKE '%flood%'
ORDER BY timestamp DESC;"""

212,"""Retrieve the tweets with the highest retweet count related to the flood disaster in Vietnam.""","""SELECT tweet_text, retweet_count
FROM Disaster_Tweets
WHERE location LIKE '%Vietnam%' AND tweet_text LIKE '%flood%'
ORDER BY retweet_count DESC
LIMIT 3;"""

213,"""List the types of natural disasters that have affected the Hanoi area, along with the affected population and relief status for each disaster.""","""SELECT d.disaster_type, d.affected_population, d.relief_status
FROM Disaster_Information d
WHERE d.location LIKE '%Hanoi%';"""

214,"""Show the infrastructure status for the areas affected by the most recent flood in Vietnam.""","""SELECT d.affected_areas, d.infrastructure_status
FROM Damage_Assessment d
WHERE d.damage_type = 'Flood' AND d.location LIKE '%Vietnam%'
ORDER BY d.timestamp DESC
LIMIT 1;"""

215,"""Find the emergency contacts who can provide psychological support services in Ho Chi Minh City.""","""SELECT contact_info, organization_name, designation
FROM Emergency_Contacts
WHERE location LIKE '%Ho Chi Minh City%' AND contact_type LIKE '%Psychological Support%';"""
